season,week,home,road,line,actual,hscore,vscore,linesag,linemass,linepfz,linelaz,linemoore,linesagr,linewayward,lineargh,linehow,linesagpred,linekam,linerwp,lineavg,lineelo,lineloud,lineborn,linedokter,linedunk,linebill,linepugh,linebihl,linecurry,lineclean,linefei,linemedian,lineharville,linesaggm,linemidweek,linedonchess,lineespn,linetalis,lineopen,linepig,linepiratings,linecons,linecong,linedwig,linepibias,linel2,lineteamrank,linelog,linefluker,linepimean,lineca,linel2hf,linekerns,linekeep,linebig200,linecfp,linestd,total,phcover,phwin
2025,2,Sam Houston St.,UNLV,-9.0,-17,21,38,-12.35,-9.14,-9.61,-5.93,-2.52,-12.09,-6.7,,-9.5,-10.38,-18.17,-5.97,-10.13,-10.26,-1,,-8.18,,-1.7,-15.65,,-10.27,2.5,-8.0,-10.13,-8.48,-14.72,-10.0,-9.4,-8.5,-13.91,-13.5,-10.0,-17.1,-11.33,4.96,-13.0,-17.6,,-7.8,,-13.6,-15.2,-9.0,,-15.3,-12.36,-5.98,,5.48,59,0.4731748661,0.2731743535
2025,2,San Jose St.,Central Mich.,14.0,-2,14,16,12.65,11.07,10.65,11.1,10.12,12.67,11.22,,12.0,12.67,18.42,12.55,12.89,12.77,3,,19.77,,13.56,14.1,,11.1,13.5,11.2,12.66,8.79,12.64,13.5,6.9,7.35,13.24,10.5,15.0,13.7,13.83,11.35,15.0,15.7,,10.2,,10.6,14.1,14.0,,26.95,16.24,19.04,,3.95,30,0.4729497666,0.7846505109
2025,2,South Carolina,Virginia Tech,7.0,13,24,11,11.87,7.72,7.28,3.49,13.05,11.9,6.4,,6.0,11.9,10.63,9.09,9.41,8.12,2,,7.3,,8.06,8.17,,8.73,4.0,5.4,8.91,3.4,11.86,7.5,8.0,5.56,8.34,9.5,13.0,12.3,10.41,10.21,14.0,10.8,,12.8,,7.8,11.2,7.0,,17.45,7.71,15.66,,3.37,35,0.5590274083,0.7189896359
2025,2,South Florida,Boise St.,-5.0,27,34,7,-7.44,-10.06,-5.55,-10.69,-9.03,-7.47,-8.27,,-16.5,-7.47,-19.05,-9.8,-11.24,-10.57,-8,,-10.37,,-10.06,-11.44,,-10.3,-2.0,-15.3,-10.34,-7.25,-7.43,-5.5,-10.9,-3.62,-11.07,-9.5,-11.0,-10.1,-16.44,-5.25,-17.0,-10.6,,-11.0,,-7.8,-8.7,-6.0,,-27.9,-11.0,-16.56,,4.69,41,0.353088463,0.2485450811
2025,2,Southern Miss.,Mississippi St.,-14.0,-17,17,34,-8.62,-23.58,-5.49,-14.46,-22.19,-8.64,-17.55,,-13.0,-8.64,-23.95,-10.12,-16.45,-13.07,-5,,-15.65,,-10.89,-22.32,,-14.44,-0.5,-20.6,-15.06,-20.86,-8.61,-13.0,-4.8,-9.33,-25.76,-14.5,-9.0,-27.7,-15.73,-19.9,-34.0,-27.2,,-14.1,,-11.5,-22.9,-14.0,,-37.0,-35.65,-16.85,,9.19,51,0.4468711268,0.1849047776
2025,2,Tennessee,Syracuse,13.5,19,45,26,10.89,17.34,16.14,11.88,22.23,10.92,17.1,,11.0,10.92,18.56,8.57,12.61,3.75,4,,13.5,,7.5,18.08,,13.2,5.5,13.7,13.23,10.63,10.88,14.0,7.4,15.34,13.55,12.5,4.0,14.2,13.27,3.07,24.0,13.9,,14.2,,12.6,13.7,13.5,,21.55,15.37,5.89,,5.24,71,0.478770768,0.7746708239
2025,2,Texas A&M,Texas-San Antonio,24.0,18,42,24,28.41,20.09,17.1,16.4,12.32,28.47,15.49,,10.5,28.47,27.37,13.66,20.94,11.97,1,,21.36,,16.33,21.37,,17.9,5.5,20.9,21.13,20.56,28.39,24.0,13.6,18.81,23.07,21.0,18.0,31.6,22.64,15.63,29.0,29.5,,23.3,,21.7,28.2,24.0,,12.85,24.2,28.98,,7.19,66,0.4303004176,0.8852638048
2025,2,Texas St.,Eastern Mich.,14.0,25,52,27,21.48,14.19,18.46,12.28,1.31,21.52,12.23,,10.5,21.52,19.96,13.88,15.84,17.26,-1,,17.13,,11.06,18.33,,14.71,23.5,11.5,15.5,10.81,21.46,13.5,12.6,6.58,20.01,14.0,16.0,15.0,16.46,7.62,22.0,18.1,,13.2,,13.7,15.0,14.0,,29.6,19.05,17.18,,6.14,79,0.5430475752,0.8240020847
2025,2,Tulane,Northwestern,4.5,20,23,3,14.59,7.42,18.57,8.09,22.33,14.62,7.1,,14.0,14.62,14.19,11.47,11.92,9.87,3,,2.91,,5.5,12.69,,11.51,27.0,11.4,11.47,2.51,14.58,6.5,7.7,6.04,17.12,7.0,13.0,9.2,14.02,11.46,10.0,11.1,,6.7,,7.9,11.3,5.5,,29.7,15.89,19.41,,6.1,26,0.6686792153,0.7583025049
2025,2,UCLA,Utah,-5.5,-33,10,43,-0.13,-0.3,-4.9,0.97,-8.09,-0.14,3.73,,2.0,-0.14,-1.0,3.25,-0.28,1.32,-2,,-5.95,,-2.0,-2.86,,0.76,9.0,-1.2,-0.15,2.65,-0.13,-6.0,-5.2,0.51,1.44,-3.5,-5.0,-2.4,-0.16,-2.44,2.0,-3.9,,-3.2,,-5.5,-3.1,-4.5,,8.75,-3.65,3.66,,3.54,53,0.6258682412,0.4931326953
