season,week,home,road,line,actual,hscore,vscore,linesag,linepayne,linemass,linepfz,linelaz,linemoore,linesagr,lineargh,linepaynep,linehow,linesagpred,linepaynewl,linekam,linerwp,lineavg,lineelo,lineloud,lineborn,linedokter,linedunk,linebill,linebihl,lineround,linefei,linemedian,lineharville,linesaggm,lineespn,linefox,lineopen,linepig,linecons,linecong,linepibias,linel2,lineteamrank,lineash,linepimean,lineca,linekeep,linekerns,linel2hf,linelog,linedwig,linepiratings,linetalis,linedonchess,linefeng,linemidweek,lineclean,linecurry,linepugh,linestd,total,phcover,phwin
2023,2,San Jose St.,Oregon St.,-16.5,-25,17,42,-10.91,-15.34,-19.65,-21.55,-14.08,-17.49,-10.85,-11.0,-17.81,-7.5,-11.29,-7.92,-15.24,-8.33,-15.52,-15.72,1.0,-28.25,-13.51,,-12.7,,,-11.5,-15.29,-11.52,-10.76,-14.78,-18.0,-16.5,-21.0,,-10.66,-20.3,,-12.3,,-18.3,-16.5,-23.5,-18.7,,,-28.0,-19.4,-21.61,-20.5,,-16.5,5.5,-26.88,-19.57,6.86,59,0.5225978923,0.1847142383
2023,2,South Carolina,North Carolina,-2.5,-14,17,31,2.33,-2.1,2.0,5.23,-1.0,1.34,2.33,-2.0,-0.56,-0.5,2.34,-6.69,0.58,6.79,0.74,9.19,1.0,8.2,-9.18,,6.25,,,2.6,1.34,-4.81,2.32,-3.1,4.0,0.0,0.01,,-10.98,-5.5,,-1.4,,-2.2,-2.0,-8.2,5.8,,,5.0,-3.5,3.14,1.9,,-2.5,4.5,13.26,-0.5,5.01,48,0.5771627106,0.5177290897
2023,2,TCU,Colorado,20.5,-3,42,45,21.37,26.76,26.0,41.08,21.44,29.81,21.43,23.0,28.53,26.0,21.43,21.46,28.54,19.1,28.74,36.86,6.0,40.45,25.06,,26.13,,,28.5,26.45,30.8,21.36,23.51,40.0,21.5,27.0,,33.93,31.0,,21.6,,26.2,21.5,41.8,32.5,,,46.0,26.7,39.46,22.5,,20.5,24.0,43.51,25.21,7.98,87,0.6786080211,0.9471369977
2023,2,Temple,Akron,10.0,3,24,21,9.76,9.68,11.23,2.83,7.1,6.67,9.79,8.0,10.22,8.5,9.79,8.08,7.68,9.43,8.59,6.58,5.0,6.55,14.73,,4.04,,,12.4,8.92,4.34,9.76,10.39,8.0,10.5,12.0,,9.94,7.0,,10.8,,5.2,10.0,13.2,3.0,,,8.0,7.7,7.08,12.5,,10.5,3.0,12.35,9.33,2.96,45,0.4652114369,0.702611709
2023,2,Tennessee,Virginia,27.5,36,49,13,26.65,27.78,23.54,43.51,20.56,22.66,26.72,16.0,30.13,21.0,26.73,20.72,31.68,17.83,27.04,27.45,3.0,39.65,22.53,,20.42,,,19.4,26.65,27.51,26.64,19.08,35.0,28.0,27.0,,35.37,24.7,,31.1,,23.7,27.5,37.7,39.5,,,40.0,24.0,33.54,17.5,,27.5,15.5,38.01,23.02,8.12,62,0.4897091495,0.9353016691
2023,2,Texas,Rice,36.0,27,37,10,35.07,32.55,34.24,33.99,29.09,28.29,35.17,22.0,37.19,24.0,35.18,18.65,37.19,14.72,32.93,28.89,9.0,43.15,33.58,,20.92,,,32.9,34.17,28.64,35.06,32.85,39.0,35.0,37.0,,32.89,39.8,,34.1,,38.3,36.0,41.9,43.8,,,42.0,39.0,38.65,25.5,,35.0,16.0,37.45,40.63,8.23,47,0.4318328407,0.9672496465
2023,2,Texas A&M,New Mexico,38.5,42,52,10,37.65,31.27,34.13,25.79,23.97,31.42,37.77,21.0,36.89,22.0,37.77,14.42,37.65,18.06,31.75,29.34,11.0,37.35,40.65,,21.96,,,30.9,33.51,25.47,37.65,33.08,35.0,38.0,46.0,,46.06,36.4,,38.9,,34.2,38.0,41.4,24.6,,,35.0,33.9,27.45,28.0,,38.5,13.5,35.53,33.11,8.38,62,0.3534482547,0.9615298254
2023,2,Tulane,South Alabama,6.5,20,37,17,8.93,8.59,15.2,1.39,10.43,7.94,8.95,5.0,8.72,9.5,8.95,8.17,14.02,9.76,10.81,13.94,4.0,18.25,11.1,,7.79,,,14.3,9.93,7.17,8.93,9.86,15.0,7.0,10.0,,0.7,13.1,,8.9,,12.2,7.5,12.9,11.5,,,16.0,14.3,13.69,7.0,,6.0,8.0,21.38,14.37,4.22,54,0.6034850475,0.7447553816
2023,2,UCLA,Coastal Carolina,15.5,14,27,13,12.96,14.53,15.44,19.26,15.16,9.98,13.0,10.0,17.75,0.5,12.99,4.87,14.1,11.61,15.93,15.23,-2.0,27.55,17.44,,7.58,,,13.4,15.26,15.29,12.96,17.72,22.0,14.5,18.0,,20.89,23.4,,13.4,,21.7,15.5,18.6,21.5,,,22.0,21.8,19.27,13.6,,14.0,15.0,20.05,20.1,5.96,40,0.5101158149,0.8262562326
2023,2,USC,Nevada,38.0,52,66,14,30.04,35.89,23.99,28.09,23.76,19.12,31.45,24.0,39.41,20.0,27.61,25.31,32.16,19.25,31.76,28.91,1.0,38.55,35.75,,26.24,,,27.7,31.16,26.84,30.28,32.18,31.0,35.5,42.0,,45.55,44.6,,38.1,,39.1,37.5,47.5,33.9,,,40.0,44.3,36.21,26.0,,38.0,19.0,41.96,31.31,9.24,80,0.3670438513,0.9580910208
2023,2,Utah,Florida,5.5,13,24,11,9.1,10.55,8.13,31.03,8.44,16.03,9.12,10.0,9.48,4.5,9.12,13.74,10.35,,12.97,10.98,1.0,18.95,6.04,,17.17,,,7.2,10.98,9.31,9.1,10.16,20.0,9.0,12.0,,20.85,19.6,,8.2,,16.7,7.0,24.7,15.7,,,13.0,16.3,12.93,14.5,,5.5,10.5,17.32,12.45,5.78,35,0.6708068963,0.7786619979
2023,2,Virginia Tech,Old Dominion,16.0,19,36,17,14.84,8.19,13.07,7.81,13.53,7.16,14.87,8.0,8.87,8.0,14.88,6.14,11.22,5.36,11.1,6.21,5.0,7.55,19.01,,2.58,,,11.1,11.05,3.58,14.83,17.37,9.0,14.5,25.0,,25.31,13.1,,15.1,,13.3,15.5,20.4,5.2,,,5.0,12.5,3.89,10.8,,16.0,2.5,14.11,11.0,5.66,53,0.3856168069,0.7449442728
2023,2,Washington,Boise St.,14.0,37,56,19,8.56,14.82,11.73,3.03,5.3,9.74,8.58,7.0,15.76,-1.5,8.58,12.0,9.41,10.12,12.35,16.45,-2.0,20.75,12.66,,8.83,,,8.1,12.13,12.26,8.56,10.9,14.0,15.5,14.0,,13.2,24.6,,13.1,,22.0,14.0,19.2,14.3,,,16.0,23.6,12.82,17.5,,14.0,2.0,23.43,11.97,6.17,75,0.4614128207,0.7658030924
2023,2,Western Kentucky,South Florida,12.0,17,41,24,17.61,16.38,14.16,34.02,12.8,21.19,17.66,11.0,16.16,21.0,17.66,17.02,15.07,15.34,17.2,14.4,5.0,21.65,15.56,,22.58,,,15.7,16.27,15.07,17.61,7.38,23.0,13.5,28.0,,15.64,9.4,,13.3,,9.9,13.0,22.8,27.6,,,19.0,7.6,17.38,16.0,,12.0,17.0,19.36,16.15,5.63,65,0.6212287535,0.8464002918
