season,week,home,road,line,actual,hscore,vscore,linesag,linepayne,linemass,linepfz,linelaz,linemoore,linesagr,linewayward,lineargh,linepaynep,linehow,linesagpred,linepaynewl,linekam,linerwp,lineavg,lineelo,lineloud,lineborn,linedokter,linedunk,linebill,linepugh,linebihl,linecurry,lineround,lineclean,linefei,linemedian,lineharville,linesaggm,linemidweek,linedonchess,lineespn,linetalis,lineopen,linepig,linepiratings,linecons,linecong,linedwig,linepibias,linel2,lineteamrank,linelog,linepimean,lineca,linel2hf,linekerns,linekeep,linebig200,linecfp,linestd,total,phcover,phwin
2024,2,West Va.,Penn St.,-7.5,-22,12,34,-6.32,-9.56,-9.01,-27.7,-8.56,-11.8,-6.34,-10.21,-6.0,-14.0,-11.5,-6.34,-7.17,-16.88,-5.36,-10.11,-6.51,-4.0,-10.15,-10.44,,-4.78,-14.36,,-4.27,,,-11.6,-9.29,-8.21,-6.31,-8.0,-7.2,-12.34,-14.74,-10.0,-7.0,-14.8,-5.86,-7.67,-17.0,-15.3,,-9.9,,-13.9,-7.5,,-14.95,-11.73,-5.25,-6.0,4.75,46,0.4374164031,0.2708730461
2024,2,Wisconsin,Western Mich.,24.0,14,28,14,23.96,18.02,25.89,20.05,20.83,29.76,24.01,19.99,13.0,23.66,14.0,24.01,14.99,24.02,15.98,21.82,17.1,4.0,27.35,25.65,,11.61,27.22,,22.8,,,25.3,22.8,21.93,23.92,24.0,23.0,18.95,24.03,23.0,,27.0,29.05,20.03,20.0,28.1,,20.8,,26.4,24.0,,23.95,21.4,20.37,19.2,5.6,42,0.448480064,0.9025487838
2024,3,Air Force,San Jose St.,3.0,-10,7,17,7.69,4.48,4.35,8.29,1.11,6.18,7.82,6.99,4.0,1.64,7.5,6.57,6.01,3.88,-9.23,3.52,-3.33,4.0,-2.75,8.81,,6.93,5.17,,2.28,,-2.5,9.2,4.0,1.24,8.99,5.5,6.2,-2.2,0.84,6.0,10.0,1.9,9.38,5.04,-3.0,2.8,,6.6,,3.2,3.0,,-2.95,-1.38,1.04,3.4,4.42,24,0.5125862955,0.5845701156
2024,3,Alabama,South Florida,30.5,26,42,16,27.57,31.2,38.5,28.62,32.33,38.83,30.54,39.17,18.0,32.56,35.0,27.19,30.48,47.47,19.04,31.75,28.78,15.0,36.05,30.46,,24.67,34.38,,37.44,,14.0,42.8,31.63,35.61,26.94,30.0,22.5,34.77,34.54,31.0,25.0,36.6,31.63,22.67,39.0,36.4,,29.5,,35.3,30.5,,65.7,33.67,24.16,20.7,9.1,58,0.5272338553,0.9586547237
2024,3,Arizona St.,Mississippi St.,5.5,7,30,23,4.6,-2.67,-2.16,0.88,3.47,-7.25,4.25,4.33,3.0,-2.93,-3.5,4.65,-2.53,4.9,9.14,2.19,8.5,-2.0,5.45,6.11,,3.45,-0.77,,0.44,,7.5,5.3,3.47,-1.15,4.91,6.0,7.0,2.47,-0.22,4.5,4.0,4.2,-1.01,-3.2,-27.0,3.6,,4.0,,3.3,5.5,,15.75,12.84,5.78,1.7,6.59,53,0.4236381955,0.5506986611
2024,3,Arkansas St.,Tulsa,7.5,4,28,24,10.32,9.92,-0.89,-3.28,0.44,2.75,10.15,-0.45,3.0,10.19,1.5,9.96,9.77,-0.01,5.46,6.79,8.49,-3.0,10.75,10.38,,11.06,3.18,,6.47,,10.5,4.0,8.4,1.22,11.3,7.5,13.7,-1.38,8.1,6.0,10.0,8.8,9.16,18.25,4.0,9.8,,-0.7,,8.4,7.5,,11.65,18.22,3.34,5.4,5.49,52,0.4831435569,0.6569672675
2024,3,Auburn,California,12.5,-7,14,21,12.07,4.22,10.26,9.41,7.49,17.47,14.02,10.03,8.0,7.03,8.5,12.48,2.71,6.05,0.43,8.93,1.56,3.0,12.85,10.4,,1.69,10.95,,3.5,,4.5,9.5,9.0,10.12,10.45,13.0,15.5,14.18,5.63,12.0,11.0,6.0,8.73,10.84,9.0,7.1,,20.5,,7.5,11.5,,18.0,8.17,3.02,16.6,4.7,35,0.4146379764,0.7051868666
2024,3,Central Florida,Sam Houston St.,21.5,31,45,14,24.31,18.19,25.15,11.82,17.95,20.54,27.77,21.11,14.0,21.88,20.0,24.06,16.21,21.48,12.91,19.97,13.39,9.0,26.15,25.85,,14.62,28.01,,16.8,,10.5,18.1,21.48,24.26,22.77,22.0,10.4,22.56,25.5,23.5,23.0,23.3,29.23,16.27,3.0,22.3,,23.3,,22.8,21.5,,13.25,27.05,24.83,20.8,6.14,59,0.4641872011,0.8796569948
2024,3,Cincinnati,Pittsburgh,2.0,-1,27,28,4.56,0.49,0.2,-1.55,-0.5,-8.8,4.16,4.17,-0.25,1.14,3.0,3.92,0.13,2.4,-1.09,0.54,0.09,3.0,-2.75,6.02,,3.03,-0.04,,-1.87,,-4.0,1.7,1.3,-1.17,5.65,2.0,3.4,-2.77,1.6,2.5,2.0,2.9,3.8,1.76,-8.0,2.7,,1.3,,3.1,2.0,,-12.3,7.52,3.84,-5.0,3.93,55,0.4644289621,0.5131714986
2024,3,Clemson,Appalachian St.,17.0,46,66,20,11.97,10.12,17.55,0.02,11.39,27.28,12.99,15.43,13.0,14.1,6.0,12.17,7.98,9.69,9.53,12.45,10.11,3.0,16.55,19.09,,7.2,15.5,,13.52,,2.5,15.0,13.0,15.51,11.36,17.0,13.0,14.22,13.46,17.0,16.0,17.4,16.68,12.11,15.0,17.6,,14.3,,17.5,16.0,,0.01,14.55,11.41,4.3,5.39,86,0.3930361445,0.7711566836
2024,3,Florida Atlantic,Army,3.5,-17,7,24,4.27,-2.48,-0.48,-3.05,0.41,-0.06,4.82,0.19,1.0,2.54,-6.0,4.77,-5.19,0.28,-5.26,0.23,-5.68,-2.0,0.45,4.72,,-4.32,3.37,,-3.65,,6.5,2.0,0.45,2.87,3.29,4.0,3.0,6.71,1.07,2.5,2.0,3.4,-0.95,-8.95,-7.0,5.2,,-2.5,,3.4,3.0,,8.25,0.75,-3.19,0.4,4.16,31,0.421027886,0.5055912135
