season,week,away,home,market_home_margin_close,canonical_model_id,model_name,prediction_home_margin,picker,source_table,orientation_method
2026,2,Sacramento St.,Eastern Mich.,9.5,piratings_bias,PI-Rate Bias,16.2,PiRate: Bias,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Hawaii,Stanford,4.0,piratings_bias,PI-Rate Bias,10.3,PiRate: Bias,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,New Mexico St.,Florida St.,32.0,piratings_bias,PI-Rate Bias,35.4,PiRate: Bias,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Memphis,UNLV,4.5,piratings_bias,PI-Rate Bias,3.2,PiRate: Bias,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,North Carolina,TCU,9.0,piratings_mean,Pi-Ratings Mean,16.9,PiRate: Mean,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,San Jose St.,USC,38.5,piratings_mean,Pi-Ratings Mean,51.3,PiRate: Mean,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,NC St.,Virginia,4.0,piratings_mean,Pi-Ratings Mean,4.2,PiRate: Mean,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Jacksonville St.,North Dakota St.,7.0,piratings_mean,Pi-Ratings Mean,7.8,PiRate: Mean,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Sacramento St.,Eastern Mich.,9.5,piratings_mean,Pi-Ratings Mean,14.4,PiRate: Mean,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Hawaii,Stanford,4.0,piratings_mean,Pi-Ratings Mean,9.8,PiRate: Mean,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,New Mexico St.,Florida St.,32.0,piratings_mean,Pi-Ratings Mean,31.9,PiRate: Mean,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Memphis,UNLV,4.5,piratings_mean,Pi-Ratings Mean,4.4,PiRate: Mean,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,North Carolina,TCU,9.0,linecfbp_power_rank,Power Rank,6.4,Power Rank,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,San Jose St.,USC,38.5,linecfbp_power_rank,Power Rank,34.9,Power Rank,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,NC St.,Virginia,4.0,linecfbp_power_rank,Power Rank,4.5,Power Rank,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
