lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,linecong,linebillings,lineharville,linebig200,linepve,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,linecfp,linepig,linefidler,neutral,linel2,linepfz,linemoore,lineelo,linelaz,linekam,linel2hf,linekerns,lineteamrank,linefluker,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,linenewbury,lineborn,lineavg,linestd,linemedian,phcover,phwin,lineca
-1.5,-1.0,Mississippi St.,Minnesota,9.0,,,,,4.64,9.421,,,17.1,,,,,,0.77,7.5,,0.5,3.48,3.13,3.23,4.22,-1.03,,,-3.15,,,2.5965665186,0,,7.98,4.99,6.798090865,1.77,1.3248,,,2.5,3.1,,8.7535,2,-7.74,,5.88,4.41,,,4.0469582953,4.7666878319,3.48,0.5862265638,0.5961059723,0.0
46.5,47.5,Charlotte,Mississippi,35.5,,,,,36.07,42.642,,,49.8,,,,,,42.63,27.5,,36.5,48.22,48.89,50.99,53.27,46.44,,,46.36,,,50.081805577,0,,27.16,42.46,49.312004052,37.87,45.1452,,,48.5,40.9,,46.823,12,5.37,,39.15,44.19,,,41.670960385,10.200363931,44.19,0.407310307,0.9861755669,47.5
28.5,28.5,Bowling Green,Nebraska,17.0,,,,,32.75,29.099,,,28.1,,,,,,28.87,13.5,,25.0,26.28,31.98,33.83,16.35,26.22,,,24.75,,,33.384787592,0,,13.23,27.29,23.435298107,21.13,20.6405,,,34.0,25.4,,32.207,1,4.63,,21.08,31.95,,,24.884263428,7.5395793742,26.22,0.4398559777,0.9209378717,28.5
-6.5,-3.5,UNLV,North Texas,3.0,,,,,0.62,4.477,,,23.2,,,,,,3.84,14.5,,-4.5,-2.28,-2.97,-4.21,-0.03,-0.04,,,14.36,,,-5.686901861,0,,-5.11,5.27,10.44985703,0.9,6.6322,,,-4.3,2.1,,8.4,-2,-9.47,7.599,6.2,5.09,,,3.0015828911,7.3812662204,2.55,0.6074520947,0.5678476563,-3.0
44.5,44.5,Rice,Notre Dame,28.5,,,,,35.31,32.496,,,51.5,,,,,,43.29,33.0,,36.5,42.68,47.59,48.59,36.24,49.27,,,47.9,,,55.85617875,0,,24.34,48.29,39.891000311,33.86,47.7202,,,45.2,48.3,,44.0895,11,-2.85,,42.31,30.93,,,39.632115162,11.922710155,42.68,0.4246400297,0.9767710468,44.5
2.0,3.0,Jacksonville St.,Ohio,7.5,,,,,-3.58,10.448,,,13.5,,,,,,5.77,8.0,,0.9,0.34,-0.97,-1.04,2.77,1.85,,,5.69,,,1.6396430088,0,,-0.07,4.76,8.360258467,3.91,14.8068,,,-1.4,7.4,,10.458,-1,-15.46,,7.5,7.47,,,4.022108059,6.2805331319,4.76,0.5173273837,0.5928163823,3.0
-21.5,-22.5,Oregon,Oklahoma St.,-31.0,,,,,-19.51,-28.101,,,-52.7,,,,,,-28.0,-20.5,,-23.5,-19.99,-23.58,-27.9,-19.42,-25.69,,,-38.76,,,-34.42687931,0,,-21.53,-32.66,-34.0335307,-26.59,-37.0115,,,-23.4,-26.2,,-26.306,-4,-12.75,-39.064,-24.0,-31.63,,,-28.00972731,8.2024766391,-26.448,0.409618353,0.0590653968,-23.0
-27.5,-26.5,Texas Tech,Oregon St.,-17.0,,,,,-23.42,-27.177,,,-44.2,,,,,,-21.36,-22.0,,-25.0,-13.75,-27.45,-30.88,0.44,-20.47,,,-34.58,,,-28.76718857,0,,-13.25,-29.03,-36.22330554,-13.11,-32.9292,,,-20.9,-22.1,,-30.786,-1,-37.44,,-17.83,-34.69,,,-24.95610776,9.6742051167,-25.0,0.5249711054,0.0903543574,-26.5
7.5,7.0,Central Florida,Pittsburgh,10.0,,,,,12.25,11.336,,,20.3,,,,,,7.46,19.5,,6.8,7.89,8.33,9.17,6.38,9.61,,,15.2,,,13.117240166,0,,6.02,17.0,13.459262864,10.34,10.0913,,,6.9,7.7,,17.15,1,-14.94,,9.33,12.57,,,10.118552121,6.6127463797,10.0,0.5525280148,0.7212031,7.5
-4.0,-3.0,Wake Forest,Purdue,-5.5,,,,,-8.56,-6.59,,,-12.6,,,,,,-2.51,-10.5,,-3.5,-0.78,-0.16,0.04,-2.26,-1.31,,,-5.11,,,-3.443857877,0,,-2.99,-10.36,-5.221601654,-3.03,-6.3157,,,-2.4,-1.1,,-9.296,1,2.71,,-0.68,-12.93,,,-4.575886381,4.1706102623,-3.443857877,0.4727486211,0.3905969697,-3.0
-14.5,-13.5,Tulsa,Sam Houston St.,-0.5,,,,,-10.13,-8.965,,,-5.0,,,,,,-5.21,-1.5,,-10.1,-13.12,-11.68,-15.61,-14.37,-10.83,,,-10.71,,,-10.57144539,0,,0.63,-10.22,-7.213750326,-6.5,-6.7445,,,-14.5,-10.4,,-4.704,2,-7.7,-16.293,-2.23,-13.61,,,-8.760834451,4.6762163962,-10.115,0.5811069658,0.2989345354,-12.5
