canonical_model_id,model_name,predictions,bets,wins,losses,pushes,units,mae,bias,ats_pct,roi,wilson_low,seasons,rank,pool_rank,fold,line_reference,ranking_method,incremental_corr,incremental_gamma,incremental_score,residual_mae
linecfbp_wilson_ratings,Wilson Ratings,2158.0,2100,1032.0,1068.0,35.0,-129.81818181818184,12.85,-0.15908248378127895,0.49142857142857144,-0.06181818181818183,0.47008192844575725,5.0,40.0,29,7,Midweek,wilson,,,,
linept_dwig,DP Dwiggins,3221.0,3070,1497.0,1573.0,50.0,-212.09090909090912,13.512496119217634,0.12519403911828625,0.48762214983713353,-0.06908498667456323,0.46996729887439814,5.0,41.0,30,7,Midweek,wilson,,,,
linept_how,Howell,3227.0,3068,1496.0,1572.0,51.0,-212.00000000000003,13.413721722962505,-0.14223737217229623,0.4876140808344198,-0.06910039113428945,0.46995350567070227,5.0,42.0,31,7,Midweek,wilson,,,,
sagarin_recent,Sagarin Recent,3229.0,3173,1543.0,1630.0,51.0,-227.2727272727273,12.759284608237843,0.036342520904304676,0.4862905767412543,-0.07162708076669629,0.4689268565798816,5.0,45.0,32,7,Midweek,wilson,,,,
moore_ratings,Moore Power Ratings,3226.0,3173,1542.0,1631.0,51.0,-229.18181818181822,13.269277743335401,0.04334469931804093,0.48597541758588086,-0.07222874824513653,0.46861238220980767,5.0,46.0,33,7,Midweek,wilson,,,,
linecfbp_professor_sides,Professor Sides,2152.0,2090,1024.0,1066.0,35.0,-135.09090909090912,12.71854089219331,-0.029786245353159876,0.48995215311004786,-0.06463679860809049,0.4685585176205608,5.0,47.0,34,7,Midweek,wilson,,,,
linept_kam,Edward Kambour,3227.0,3174,1542.0,1632.0,51.0,-230.18181818181822,12.881468856523087,-0.02451812829253166,0.48582230623818523,-0.07252105172710088,0.4684623353982425,5.0,48.0,35,7,Midweek,wilson,,,,
dokter_entropy,Dokter Entropy,3228.0,3169,1538.0,1631.0,51.0,-232.81818181818187,12.520179677819083,-0.026177199504337015,0.48532660145156203,-0.07346739722883619,0.4679540683272024,5.0,49.0,36,7,Midweek,wilson,,,,
teamrankings,TeamRankings.com,3229.0,3140,1524.0,1616.0,51.0,-230.5454545454546,12.583521213998141,0.05556209352740782,0.4853503184713376,-0.07342211928199191,0.4678978725920888,5.0,50.0,37,7,Midweek,wilson,,,,
linecfbp_john_harris,John Harris,621.0,599,304.0,295.0,12.0,-18.636363636363644,12.25523349436393,0.011433172302737306,0.5075125208681135,-0.031112460160874197,0.46755592678739744,2.0,51.0,38,7,Midweek,wilson,,,,
linecfbp_cfb_geek,CFB Geek,1642.0,1601,787.0,814.0,29.0,-98.54545454545456,12.733556638246041,0.11760048721071865,0.4915677701436602,-0.061552438816648694,0.4671288577495814,4.0,52.0,39,7,Midweek,wilson,,,,
linept_elo,Beck Elo,3229.0,3172,1534.0,1638.0,51.0,-243.4545454545455,13.202753174357387,0.022270052647878624,0.48360655737704916,-0.0767511177347243,0.46624616079573095,5.0,53.0,40,7,Midweek,wilson,,,,
linept_big200,Big 200,894.0,877,437.0,440.0,17.0,-42.72727272727274,13.33765100671141,0.09467561521252794,0.4982896237172178,-0.048719809267129696,0.4652778718647885,2.0,55.0,41,7,Midweek,wilson,,,,
linecfbp_trent_sorensen,Trent Sorensen,621.0,604,305.0,299.0,12.0,-21.727272727272737,14.080193236714974,-0.2409017713365538,0.5049668874172185,-0.03597230583985553,0.46518874574002816,2.0,56.0,42,7,Midweek,wilson,,,,
linept_bill,Billingsley,3228.0,3175,1530.0,1645.0,51.0,-254.09090909090912,13.625557620817844,0.13419454770755887,0.4818897637795276,-0.08002863278453831,0.464541684223247,5.0,57.0,43,7,Midweek,wilson,,,,
linept_rwp,Laffaye RWP,3101.0,3042,1463.0,1579.0,51.0,-249.00000000000003,13.715733634311512,0.1787584650112866,0.4809335963182117,-0.08185404339250495,0.46321375212657284,5.0,59.0,44,7,Midweek,wilson,,,,
linecfbp_sportsline,SportsLine,1136.0,1079,531.0,548.0,22.0,-65.2727272727273,12.649647887323944,0.11619718309859155,0.49212233549582945,-0.06049372314432557,0.46237321360006195,3.0,62.0,45,7,Midweek,wilson,,,,
