fold,ranking_method,top_n,top_n_label,line_reference,market_intercept,market_beta,signal_intercept,signal_market_beta,gamma,train_games,selected_models
1,incremental,999,All,Close (PT Updated/final),0.17526130528962033,0.9643724590639464,0.17328333388773295,0.9437313678464335,-0.20604919687123607,1425,60
2,wilson,3,3,Open,0.19231712058015632,0.983066287198602,0.16852841039947983,0.9864151139621624,0.13196799696142653,1695,3
2,wilson,5,5,Open,0.19231712058015632,0.983066287198602,0.17520941901014653,0.9965746726873072,0.1418725604526267,1695,5
2,wilson,8,8,Open,0.19231712058015632,0.983066287198602,0.17567188519574675,0.995316260472104,0.09758466551685363,1695,8
2,wilson,10,10,Open,0.19231712058015632,0.983066287198602,0.18234983660608714,0.9950469896075123,0.07444761980659848,1695,10
2,wilson,15,15,Open,0.19231712058015632,0.983066287198602,0.18936967194317356,0.9899166922217151,0.04824012506199615,1695,15
2,wilson,20,20,Open,0.19231712058015632,0.983066287198602,0.18982531007232142,0.9877729485874733,0.031346654923986805,1695,20
2,wilson,25,25,Open,0.19231712058015632,0.983066287198602,0.19012617385165542,0.9875667108615311,0.035558689879231775,1695,25
2,wilson,35,35,Open,0.19231712058015632,0.983066287198602,0.18981154378708387,0.9885891941058732,0.05961632025549976,1695,35
2,wilson,999,All,Open,0.19231712058015632,0.983066287198602,0.19156616286936423,0.9860313084626072,0.04228859741833439,1695,58
2,mae,3,3,Open,-0.5209381299854698,1.0164006271855357,-0.24655987675585903,1.0320120154895656,0.5846426912883005,112,3
2,mae,5,5,Open,-0.5209381299854698,1.0164006271855357,-0.4439114454531745,1.0256865760165617,0.23477747083645212,112,5
2,mae,8,8,Open,0.19835802503786068,0.9832799657255702,0.22247255946589495,0.9903912316307772,0.282228150104067,1694,8
2,mae,10,10,Open,0.19231712058015632,0.983066287198602,0.20903854228194946,0.9839770929314726,0.2544019873216987,1695,10
2,mae,15,15,Open,0.19231712058015632,0.983066287198602,0.21877244123600637,0.9836672796705883,0.31295322001101566,1695,15
2,mae,20,20,Open,0.19231712058015632,0.983066287198602,0.21325207266097806,0.9863601225593739,0.2625506717801365,1695,20
