model_a,model_b,model_a_name,model_b_name,n_common,meets_min_common,prediction_correlation,edge_correlation,error_correlation,same_side_rate,mean_absolute_prediction_difference,mean_absolute_edge_difference,a_lower_error_rate,b_lower_error_rate,a_only_ats_correct,b_only_ats_correct
linecfbp_cfb_professor,teamrankings,CFB Professor,TeamRankings.com,1022,True,0.9482179088825184,0.3947292184883063,0.9555227852670525,0.6493506493506493,3.6469667318982384,3.7161448140900193,0.47274529236868185,0.5272547076313181,163,192
linecfbp_wilson_ratings,linept_round,Wilson Ratings,lineround,1325,True,0.8705123827112171,0.3938467832891528,0.9187012505988439,0.6224489795918368,5.254716981132075,5.297132075471698,0.5516717325227963,0.44832826747720367,262,237
linecfbp_kford,linept_pfz,KFord,PerformanZ Ratings,1566,True,0.8805836661400742,0.3936882301606384,0.8983759746435289,0.6421663442940039,5.65044699872286,5.715977011494252,0.5696040868454662,0.43039591315453385,282,293
linecfbp_david_sasser,linept_how,David Sasser,Howell,503,True,0.8954222304697325,0.39329818958240775,0.9171902196279411,0.6263048016701461,4.980994035785288,5.062902584493043,0.5734406438631791,0.42655935613682094,93,99
linecfbp_cbcr2_sam,linecfbp_kford,CBCR2: Sam,KFord,515,True,0.9210208130686636,0.39318039475813976,0.9336763649751924,0.6003937007874016,4.551650485436894,4.551650485436894,0.46153846153846156,0.5384615384615384,101,102
linecfbp_john_harris,linecfbp_professor_sides,John Harris,Professor Sides,1093,True,0.950433997945682,0.3931197311838997,0.9529067649054029,0.6367041198501873,3.7537968892955167,3.7537968892955167,0.533271719038817,0.466728280961183,212,184
dokter_entropy,piratings,Dokter Entropy,Pi-Ratings,3942,True,0.9523901634155758,0.3928711932873157,0.9561493184013432,0.6292019502181165,3.6293353627600204,3.6295890410958904,0.52133062468258,0.47866937531742,723,721
linept_paynep,linept_super,linepaynep,linesuper,769,True,0.9089391881481913,0.39273017178258685,0.8477027063765776,0.6505867014341591,8.048764629388817,8.048764629388817,0.56640625,0.43359375,119,145
linecfbp_cfb_professor,linept_donchess,CFB Professor,Donchess Inference,1022,True,0.9225650397837766,0.39270158425155,0.9507797875021499,0.6186612576064908,4.031555772994129,4.057681017612524,0.48963474827245806,0.510365251727542,193,190
linept_donchess,massey,Donchess Inference,Massey Ratings,3896,True,0.9218263191811088,0.3923358422361251,0.948785135241627,0.6403992645127397,3.9272638603696097,3.9264938398357287,0.5200411099691675,0.4799588900308325,682,709
linecfbp_beta_rank,linept_pugh,Beta_Rank,Pugh Ratings,2589,True,0.9168771633853562,0.3923031164324932,0.9224468053771617,0.640746500777605,4.989575125531093,5.058543839320201,0.4731556585554268,0.5268443414445731,443,482
