Date,Bet,American Odds,Decimal Odds,Win/Loss,Profit if risk 1u,bet_team,bet_team_norm,bet_spread,is_moneyline,game_key,season,week,road,home,match_similarity,market_selected_spread,spread_difference,market_home_margin,actual_home_margin,consensus_home_margin,model_residual_home,adjusted_home_margin,adjusted_edge_home,model_edge_selected_side,adjusted_edge_selected_side,models_available,gamma
22-Oct,Marshall +3.5,-122,1.82,W,0.82,Marshall,marshall,3.5,False,2025_w14_appalachianstate_marshall,2025,14,Marshall,Appalachian St.,1.0,5.0,1.5,5.0,-2.0,4.813000000000001,-0.1869999999999994,4.912251946952883,-0.0877480530471173,0.1869999999999994,0.0877480530471173,10,0.07078141613474465
26-Oct,Syracuse +11,-108,1.93,L,-1.0,Syracuse,syracuse,11.0,False,2025_w9_pittsburgh_syracuse,2025,9,Pittsburgh,Syracuse,1.0,10.0,1.0,-10.0,-17.0,-4.988571428571428,5.011428571428572,-9.797329167400616,0.20267083259938445,5.011428571428572,0.20267083259938445,7,0.04083846384304679
27-Oct,Northwestern -3,-105,1.95,W,0.95,Northwestern,northwestern,-3.0,False,2025_w14_minnesota_northwestern,2025,14,Minnesota,Northwestern,1.0,-4.0,1.0,4.0,3.0,3.3299999999999996,-0.6700000000000004,3.885474512731221,-0.11452548726877909,-0.6700000000000004,-0.11452548726877909,10,0.07078141613474465
28-Oct,Washington +6,-105,1.95,L,-1.0,Washington,washington,6.0,False,2025_w7_maryland_washington,2025,7,Washington,Maryland,1.0,6.0,0.0,6.0,4.0,5.339,-0.6609999999999996,5.849404052906492,-0.15059594709350765,0.6609999999999996,0.15059594709350765,10,0.04083846384304679
22-Oct,Louisiana Tech -3,-117,1.85,L,-1.0,Louisiana Tech,louisiana tech,-3.0,False,2025_w6_louisianatech_utep,2025,6,Louisiana Tech,UTEP,1.0,-3.5,0.5,-3.5,-19.0,-5.524285714285715,-2.024285714285715,-3.6340624195394047,-0.13406241953940468,2.024285714285715,0.13406241953940468,7,0.04083846384304679
22-Oct,Delaware -7.5,-114,1.88,L,-1.0,Delaware,delaware,-7.5,False,2025_w4_delaware_uconn,2025,4,Connecticut,Delaware,1.0,-8.0,0.5,8.0,-3.0,10.232000000000001,2.232000000000001,7.952348039982384,-0.047651960017615735,2.232000000000001,-0.047651960017615735,10,0.04083846384304679
23-Oct,New Mexico State +3,-110,1.91,L,-1.0,New Mexico State,new mexico state,3.0,False,2025_w14_newmexicostate_utep,2025,14,New Mexico St.,UTEP,1.0,3.0,0.0,3.0,-3.0,2.7439999999999998,-0.2560000000000002,2.9221880087824244,-0.07781199121757565,0.2560000000000002,0.07781199121757565,10,0.07078141613474465
31-Oct,Syracuse -2.5,-101,1.99,L,-1.0,Syracuse,syracuse,-2.5,False,2025_w11_northcarolina_syracuse,2025,11,North Carolina,Syracuse,1.0,-2.5,0.0,2.5,-17.0,4.874,2.3739999999999997,2.6120481281025127,0.11204812810251275,2.3739999999999997,0.11204812810251275,10,0.07078141613474465
31-Oct,Memphis -13.5,-110,1.91,W,0.91,Memphis,memphis,-13.5,False,2025_w11_memphis_rice,2025,11,Memphis,Rice,1.0,-13.5,0.0,-13.5,-24.0,-17.653000000000002,-4.153000000000002,-13.731382338666252,-0.23138233866625235,4.153000000000002,0.23138233866625235,10,0.07078141613474465
1-Nov,Boise State -17,-110,1.91,L,-1.0,Boise State,boise state,-17.0,False,2025_w6_appalachianstate_boisestate,2025,6,Appalachian St.,Boise St.,1.0,-16.0,1.0,16.0,33.0,20.96142857142857,4.96142857142857,16.00300695472068,0.0030069547206785785,4.96142857142857,0.0030069547206785785,7,0.04083846384304679
1-Nov,Minnesota -2.5,-125,1.8,W,0.8,Minnesota,minnesota,-2.5,False,2025_w15_minnesota_wisconsin,2025,15,Wisconsin,Minnesota,1.0,-2.5,0.0,2.5,-10.0,1.414,-1.086,2.3671444282762963,-0.13285557172370366,-1.086,-0.13285557172370366,5,0.07078141613474465
1-Nov,Western Michigan -5,-110,1.91,L,-1.0,Western Michigan,western michigan,-5.0,False,2025_w11_centralmichigan_westernmichigan,2025,11,Central Mich.,Western Mich.,0.8571428571428571,-6.0,1.0,6.0,3.0,6.371666666666667,0.37166666666666703,5.944385174995407,-0.055614825004592916,0.37166666666666703,-0.055614825004592916,6,0.07078141613474465
1-Nov,Western Kentucky -8.5,-110,1.91,W,0.91,Western Kentucky,western kentucky,-8.5,False,2025_w11_newmexicostate_westernkentucky,2025,11,New Mexico St.,Western Kentucky,1.0,-8.5,0.0,8.5,19.0,10.546000000000001,2.046000000000001,8.544371884981802,0.04437188498180156,2.046000000000001,0.04437188498180156,10,0.07078141613474465
1-Nov,Bowling Green -2,-110,1.91,L,-1.0,Bowling Green,bowling green,-2.0,False,2025_w14_akron_bowlinggreen,2025,14,Akron,Bowling Green,1.0,-3.0,1.0,3.0,-3.0,4.473,1.4729999999999999,3.044569077279398,0.04456907727939807,1.4729999999999999,0.04456907727939807,10,0.07078141613474465
1-Nov,Georgial -7,-110,1.91,L,-1.0,Georgial,georgial,-7.0,False,2025_w12_georgia_mississippistate,2025,12,Georgia,Mississippi St.,0.9333333333333333,-9.0,2.0,-9.0,-20.0,-9.759,-0.7590000000000003,-9.024495166276317,-0.024495166276317093,0.7590000000000003,0.024495166276317093,10,0.07078141613474465
4-Nov,Akron -9,-130,1.77,W,0.77,Akron,akron,-9.0,False,2025_w7_akron_centralmichigan,2025,7,Central Mich.,Akron,1.0,-7.5,1.5,7.5,-6.0,4.3469999999999995,-3.1530000000000005,7.236233334393088,-0.2637666656069122,-3.1530000000000005,-0.2637666656069122,10,0.04083846384304679
7-Nov,USC -13.5,-115,1.87,W,0.87,USC,usc,-13.5,False,2025_w12_northwestern_usc,2025,12,Northwestern,USC,1.0,-14.5,1.0,14.5,21.0,19.113000000000003,4.613000000000003,14.681607841571173,0.18160784157117327,4.613000000000003,0.18160784157117327,10,0.07078141613474465
7-Nov,Memphis -3,-118,1.85,L,-1.0,Memphis,memphis,-3.0,False,2025_w13_eastcarolina_memphis,2025,13,Memphis,East Carolina,1.0,-3.0,0.0,-3.0,-4.0,-1.1116666666666666,1.8883333333333334,-2.881573102590788,0.1184268974092122,-1.8883333333333334,-0.1184268974092122,6,0.07078141613474465
8-Nov,Coastal Carolina -7.5,-108,1.93,W,0.93,Coastal Carolina,coastal carolina,-7.5,False,2025_w11_coastalcarolina_marshall,2025,11,Marshall,Coastal Carolina,1.0,-6.5,1.0,6.5,-17.0,5.651999999999999,-0.8480000000000008,6.354350446230687,-0.14564955376931277,-0.8480000000000008,-0.14564955376931277,10,0.07078141613474465
