architecture,architecture_name,line_reference,threshold,blocks,bets,wins,losses,pushes,ats_pct,wilson_low,wilson_high,units_flat,roi_flat,units_win1,roi_win1,profitable_blocks,max_drawdown_flat,max_drawdown_win1,longest_losing_streak
C,Best prior single model,Close (PT Updated/final),0.75,8,1714,850,864,38,0.4959159859976663,0.47228116741250276,0.5195690707002547,-91.2727272727273,-0.053251299459000756,-100.40000000000009,-0.05325129945900079,1,-107.72727272727374,-118.49999999999832,9
C,Best prior single model,Close (PT Updated/final),1.0,8,1714,850,864,38,0.4959159859976663,0.47228116741250276,0.5195690707002547,-91.2727272727273,-0.053251299459000756,-100.40000000000009,-0.05325129945900079,1,-107.72727272727374,-118.49999999999832,9
C,Best prior single model,Close (PT Updated/final),1.25,8,1714,850,864,38,0.4959159859976663,0.47228116741250276,0.5195690707002547,-91.2727272727273,-0.053251299459000756,-100.40000000000009,-0.05325129945900079,1,-107.72727272727374,-118.49999999999832,9
C,Best prior single model,Close (PT Updated/final),1.5,8,1714,850,864,38,0.4959159859976663,0.47228116741250276,0.5195690707002547,-91.2727272727273,-0.053251299459000756,-100.40000000000009,-0.05325129945900079,1,-107.72727272727374,-118.49999999999832,9
C,Best prior single model,Close (PT Updated/final),1.75,8,1714,850,864,38,0.4959159859976663,0.47228116741250276,0.5195690707002547,-91.2727272727273,-0.053251299459000756,-100.40000000000009,-0.05325129945900079,1,-107.72727272727374,-118.49999999999832,9
C,Best prior single model,Close (PT Updated/final),2.0,8,1714,850,864,38,0.4959159859976663,0.47228116741250276,0.5195690707002547,-91.2727272727273,-0.053251299459000756,-100.40000000000009,-0.05325129945900079,1,-107.72727272727374,-118.49999999999832,9
D,Top-N diversified model consensus,Close (PT Updated/final),0.0,8,2374,1178,1196,52,0.4962089300758214,0.4761184750781153,0.5163116346482853,-125.09090909090914,-0.0526920425825228,-137.60000000000008,-0.052692042582522816,3,-135.0000000000016,-148.4999999999982,12
D,Top-N diversified model consensus,Close (PT Updated/final),0.25,8,1948,961,987,44,0.49332648870636553,0.471159437645898,0.5155198092765981,-113.3636363636364,-0.058194885196938606,-124.70000000000009,-0.05819488519693862,2,-121.27272727272867,-133.39999999999827,12
D,Top-N diversified model consensus,Close (PT Updated/final),0.5,8,1527,763,764,40,0.4996725605762934,0.47462608587674504,0.5247206786742052,-70.36363636363639,-0.04607965708162173,-77.40000000000006,-0.046079657081621754,3,-91.00000000000024,-100.09999999999992,12
D,Top-N diversified model consensus,Close (PT Updated/final),0.75,8,1197,587,610,32,0.4903926482873851,0.46214833945893097,0.5186984266757533,-76.36363636363637,-0.06379585326953749,-84.00000000000006,-0.06379585326953752,3,-101.54545454545487,-111.69999999999979,11
D,Top-N diversified model consensus,Close (PT Updated/final),1.0,8,908,453,455,21,0.4988986784140969,0.46644953545911216,0.5313571011321553,-43.181818181818194,-0.04755706848217863,-47.50000000000004,-0.04755706848217865,3,-67.90909090909096,-74.70000000000037,9
D,Top-N diversified model consensus,Close (PT Updated/final),1.25,8,692,347,345,16,0.5014450867052023,0.4642862310750469,0.5385879862755684,-29.545454545454554,-0.042695743562795596,-32.50000000000003,-0.042695743562795624,2,-59.36363636363644,-65.30000000000025,9
D,Top-N diversified model consensus,Close (PT Updated/final),1.5,8,539,273,266,12,0.5064935064935064,0.46438911436435293,0.5485059916849991,-17.818181818181824,-0.03305785123966943,-19.60000000000003,-0.033057851239669464,4,-50.81818181818187,-55.90000000000004,9
D,Top-N diversified model consensus,Close (PT Updated/final),1.75,8,424,214,210,7,0.5047169811320755,0.45729786063412087,0.5520513938563261,-15.454545454545455,-0.03644939965694683,-17.000000000000018,-0.036449399656946865,5,-38.2727272727273,-42.10000000000007,10
D,Top-N diversified model consensus,Close (PT Updated/final),2.0,8,358,180,178,7,0.5027932960893855,0.4512455064082797,0.5542817740370863,-14.363636363636365,-0.04012188928390046,-15.800000000000022,-0.040121889283900515,4,-38.000000000000036,-41.800000000000026,10
E,Exact combinations → Top-50 → META,Close (PT Updated/final),0.0,8,1780,869,911,40,0.48820224719101124,0.46503089785929097,0.5114244107286463,-121.00000000000004,-0.06797752808988766,-133.10000000000005,-0.06797752808988766,0,-135.1818181818192,-148.699999999998,8
E,Exact combinations → Top-50 → META,Close (PT Updated/final),0.25,8,1383,667,716,34,0.4822848879248012,0.4560348740176168,0.5086330447987786,-109.63636363636364,-0.07927430487083416,-120.60000000000008,-0.0792743048708342,0,-123.45454545454643,-135.79999999999828,9
E,Exact combinations → Top-50 → META,Close (PT Updated/final),0.5,8,1038,497,541,26,0.47880539499036606,0.4485490952532507,0.5092179971723155,-89.1818181818182,-0.08591697320021022,-98.10000000000004,-0.08591697320021022,3,-104.0000000000004,-114.39999999999965,10
E,Exact combinations → Top-50 → META,Close (PT Updated/final),0.75,8,721,349,372,23,0.4840499306518724,0.44775262907618424,0.5205163003009374,-54.72727272727275,-0.07590467784642545,-60.200000000000024,-0.07590467784642545,1,-72.09090909090939,-79.29999999999997,11
E,Exact combinations → Top-50 → META,Close (PT Updated/final),1.0,8,486,230,256,17,0.4732510288065844,0.42924467552695994,0.5176769415835508,-46.909090909090914,-0.09652076318742986,-51.60000000000003,-0.0965207631874299,0,-54.72727272727287,-60.20000000000018,14
E,Exact combinations → Top-50 → META,Close (PT Updated/final),1.25,8,334,159,175,10,0.47604790419161674,0.423063311645909,0.5295772157491779,-30.454545454545457,-0.09118127381600437,-33.500000000000014,-0.09118127381600438,1,-44.81818181818184,-49.30000000000015,18
E,Exact combinations → Top-50 → META,Close (PT Updated/final),1.5,8,228,105,123,8,0.4605263157894737,0.3970158185577866,0.5253449657018112,-27.545454545454547,-0.12081339712918661,-30.30000000000001,-0.12081339712918664,2,-32.90909090909088,-36.20000000000008,11
E,Exact combinations → Top-50 → META,Close (PT Updated/final),1.75,8,137,67,70,5,0.48905109489051096,0.4067917131500425,0.5719077620050255,-9.090909090909093,-0.06635700066357003,-10.000000000000004,-0.06635700066357002,3,-16.454545454545457,-18.099999999999994,5
E,Exact combinations → Top-50 → META,Close (PT Updated/final),2.0,8,89,45,44,3,0.5056179775280899,0.4036837527420452,0.6070872809325145,-3.090909090909093,-0.03472931562819206,-3.400000000000005,-0.03472931562819208,4,-7.999999999999997,-8.799999999999999,5
A,All-model consensus,Midweek,0.0,8,2382,1198,1184,44,0.5029387069689337,0.4828708869291889,0.5229970633991146,-94.90909090909096,-0.03984428669567211,-104.40000000000009,-0.03984428669567212,2,-108.27272727272847,-119.09999999999826,12
