ranking_method,top_n,top_n_label,line_reference,model_residual_bin,games,mean_model_residual,mean_actual_residual,median_actual_residual
incremental,25,25,Open,≥7,21,8.212780419804487,1.9047619047619047,-2.0
incremental,35,35,Close (PT Updated/final),≤-7,33,-8.706464427894986,5.075757575757576,3.5
incremental,35,35,Close (PT Updated/final),-7 to -4,177,-5.028550914703913,0.2853107344632768,1.0
incremental,35,35,Close (PT Updated/final),-4 to -2,360,-2.8911050303312402,-1.4902777777777778,0.0
incremental,35,35,Close (PT Updated/final),-2 to 0,619,-0.9194334072410008,-0.6066235864297254,-0.5
incremental,35,35,Close (PT Updated/final),0 to 2,657,0.9690446585598771,0.7952815829528158,0.5
incremental,35,35,Close (PT Updated/final),2 to 4,374,2.8281174859858718,0.3114973262032086,-0.5
incremental,35,35,Close (PT Updated/final),4 to 7,180,5.057000027566395,-0.6138888888888889,-0.75
incremental,35,35,Close (PT Updated/final),≥7,26,9.560382352239056,-1.5961538461538463,-1.75
incremental,35,35,Midweek,≤-7,28,-8.547318790238638,5.75,3.5
incremental,35,35,Midweek,-7 to -4,181,-5.068387804897158,-0.7486187845303868,-0.5
incremental,35,35,Midweek,-4 to -2,348,-2.8376550962793603,-0.603448275862069,0.0
incremental,35,35,Midweek,-2 to 0,657,-0.9135996576938471,-1.1643835616438356,-1.0
incremental,35,35,Midweek,0 to 2,634,0.9701311808302935,0.8738170347003155,0.5
incremental,35,35,Midweek,2 to 4,390,2.8235934610781332,0.9769230769230769,0.5
incremental,35,35,Midweek,4 to 7,160,4.992731471466313,-1.434375,-2.5
incremental,35,35,Midweek,≥7,28,11.846943933488316,2.8035714285714284,-2.75
incremental,35,35,Open,≤-7,14,-8.339944881981372,-5.535714285714286,-8.75
incremental,35,35,Open,-7 to -4,136,-4.952125143841594,0.6470588235294118,1.5
incremental,35,35,Open,-4 to -2,343,-2.8790460644927975,-1.4067055393586005,-2.0
incremental,35,35,Open,-2 to 0,659,-0.928087659633781,0.07890743550834597,0.5
incremental,35,35,Open,0 to 2,746,0.9626966139397186,-0.08378016085790885,0.0
incremental,35,35,Open,2 to 4,374,2.855215693873636,0.767379679144385,0.0
incremental,35,35,Open,4 to 7,140,5.06150298350623,-0.1357142857142857,0.0
incremental,35,35,Open,≥7,14,8.526808540634093,5.607142857142857,7.25
incremental,999,All,Close (PT Updated/final),≤-7,29,-8.563957819554302,4.844827586206897,4.5
incremental,999,All,Close (PT Updated/final),-7 to -4,185,-5.005064446218604,1.0162162162162163,1.0
incremental,999,All,Close (PT Updated/final),-4 to -2,350,-2.856560821920268,-1.97,-0.75
incremental,999,All,Close (PT Updated/final),-2 to 0,623,-0.9235814526202115,-0.5585874799357945,0.0
incremental,999,All,Close (PT Updated/final),0 to 2,651,0.9622279436986695,0.4093701996927803,-0.5
incremental,999,All,Close (PT Updated/final),2 to 4,388,2.8614972605855287,1.5103092783505154,1.0
incremental,999,All,Close (PT Updated/final),4 to 7,169,5.055417680154157,-1.8727810650887573,-2.0
incremental,999,All,Close (PT Updated/final),≥7,31,9.078912666083239,-1.096774193548387,-1.0
incremental,999,All,Midweek,≤-7,29,-8.2546724050748,3.9827586206896552,0.0
incremental,999,All,Midweek,-7 to -4,177,-4.999864971863748,-0.05084745762711865,0.5
incremental,999,All,Midweek,-4 to -2,363,-2.8567380150075605,-1.06198347107438,0.0
incremental,999,All,Midweek,-2 to 0,638,-0.8713029900523056,-0.6880877742946708,-0.5
incremental,999,All,Midweek,0 to 2,638,0.955568487810253,0.5329153605015674,0.0
incremental,999,All,Midweek,2 to 4,387,2.847065344053263,1.0348837209302326,0.5
incremental,999,All,Midweek,4 to 7,168,5.049099819898252,-1.4702380952380953,-2.0
incremental,999,All,Midweek,≥7,26,12.386039647359897,2.269230769230769,-1.75
incremental,999,All,Open,≤-7,18,-8.293730962928713,-0.75,-7.75
incremental,999,All,Open,-7 to -4,141,-4.872521671743352,0.3546099290780142,1.5
incremental,999,All,Open,-4 to -2,358,-2.8638183986023895,-0.6298882681564246,-0.5
incremental,999,All,Open,-2 to 0,643,-0.8987868802035628,0.1150855365474339,0.5
incremental,999,All,Open,0 to 2,758,0.9823877853204301,-0.27242744063324537,-0.5
incremental,999,All,Open,2 to 4,344,2.8832755417834752,1.052325581395349,1.5
incremental,999,All,Open,4 to 7,144,5.041761778588908,-1.0590277777777777,-1.75
incremental,999,All,Open,≥7,20,8.548660851676063,-1.2,-2.25
mae,3,3,Close (PT Updated/final),≤-7,30,-8.642055555555554,-5.15,-8.25
mae,3,3,Close (PT Updated/final),-7 to -4,139,-5.1933932853717035,0.025179856115107913,1.0
mae,3,3,Close (PT Updated/final),-4 to -2,236,-2.8857697740112997,-0.3411016949152542,0.0
