fold,season,week,game,selected_side,forecast_mean,forecast_sd,market_margin,actual_margin,edge,signal,cover_margin,result
7,2025,5,Ball St. @ Connecticut,Ball St.,15.993210648148148,4.118894610022595,21.0,6.0,-5.006789351851852,1.2155662685975803,15.0,W
7,2025,5,West Va. @ Kansas,Kansas,-8.941378858024692,2.2538631417293438,-13.0,-31.0,4.058621141975308,1.8007398350111046,-18.0,L
7,2025,5,Washington @ Washington St.,Washington St.,-15.577176339285716,4.598386076052476,-20.0,-35.0,4.422823660714284,0.9618208622689409,-15.0,L
7,2025,6,Memphis @ Florida Atlantic,Florida Atlantic,18.081803075396827,4.949044430354463,14.0,29.0,4.081803075396827,0.8247658983139253,15.0,W
7,2025,6,Rice @ Navy,Rice,-16.587935570987653,2.0108722764861504,-14.5,-8.0,-2.0879355709876535,1.0383233164048418,-6.5,L
7,2025,7,Clemson @ North Carolina,North Carolina,-7.460360725308642,3.8542853771262857,-14.0,-28.0,6.539639274691358,1.6967190113896662,-14.0,L
7,2025,7,Virginia @ Louisville,Louisville,-3.138123070987654,4.079314324194386,-6.5,3.0,3.361876929012346,0.8241279445109381,9.5,W
7,2025,8,Air Force @ UNLV,UNLV,12.211069058641975,3.027364279355085,7.0,3.0,5.211069058641975,1.7213221065527278,-4.0,L
7,2025,8,Iowa St. @ Colorado,Colorado,5.581737268518519,2.5704492841150137,3.0,-7.0,2.581737268518519,1.0043914441235091,-10.0,L
7,2025,9,Wyoming @ Air Force,Air Force,-3.2418613591269843,1.3957063358395985,-4.5,-3.0,1.2581386408730157,0.9014350716665424,1.5,W
7,2025,9,Delaware @ Jacksonville St.,Jacksonville St.,2.838768132716049,4.17434699673726,-3.0,13.0,5.83876813271605,1.3987261090847813,16.0,W
8,2025,10,Boise St. @ Nevada,Nevada,-17.880941230486687,3.6839964553094458,-21.5,-21.0,3.6190587695133125,0.9823730324977529,0.5,W
8,2025,10,South Florida @ Memphis,South Florida,-1.5267679063360882,3.6466738839066455,5.5,-3.0,-7.026767906336088,1.9268978060655046,8.5,W
8,2025,11,Arizona St. @ Iowa St.,Arizona St.,3.0860529155188243,2.6030043968458614,7.5,-5.0,-4.413947084481176,1.6957124966172505,12.5,W
8,2025,11,Georgia Tech @ NC St.,Georgia Tech,-9.827222222222222,2.2746397082767076,-5.5,12.0,-4.327222222222222,1.9023769814959284,-17.5,L
8,2025,11,North Carolina @ Syracuse,Syracuse,6.0516682736455465,3.1357760443510236,2.5,-17.0,3.5516682736455465,1.1326281671306648,-19.5,L
8,2025,12,UNLV @ Colorado St.,Colorado St.,6.603333333333333,2.619698880066605,4.5,32.0,2.1033333333333326,0.8028912595022585,27.5,W
8,2025,12,Syracuse @ Miami (Fla.),Miami (Fla.),-22.311802456382,4.234704474413325,-28.5,-28.0,6.188197543617999,1.461305642697844,0.5,W
8,2025,12,Wake Forest @ Virginia,Wake Forest,-10.815555555555555,1.6155278539578244,-6.5,7.0,-4.315555555555555,2.671297523582171,-13.5,L
8,2025,13,Delaware @ Sam Houston St.,Sam Houston St.,-8.916111111111112,2.487449360487094,-11.0,3.0,2.083888888888888,0.8377613317445864,14.0,W
8,2025,13,NC St. @ Miami (Fla.),NC St.,-17.875116850321398,2.6650215711082863,-14.5,-34.0,-3.3751168503213975,1.2664501056619246,19.5,W
8,2025,13,Texas St. @ Southern Miss.,Texas St.,-8.960555555555555,4.4074773025892595,-3.0,27.0,-5.960555555555555,1.3523735112722892,-30.0,L
8,2025,14,Duke @ North Carolina,North Carolina,-5.068921258034894,1.9232202359882327,-7.0,-7.0,1.9310787419651056,1.0040861185993266,0.0,P
8,2025,14,Rutgers @ Ohio St.,Ohio St.,-30.575730831037653,3.2052787449142213,-33.0,-33.0,2.424269168962347,0.7563364567930034,0.0,P
8,2025,15,Bowling Green @ Massachusetts,Massachusetts,-11.486384992784993,2.687862672604449,-14.0,-31.0,2.513615007215007,0.9351724077403843,-17.0,L
8,2025,15,Georgia St. @ Old Dominion,Georgia St.,22.69005079365079,4.571735509862351,28.0,17.0,-5.309949206349209,1.1614734043328514,11.0,W
8,2025,15,Texas Tech @ West Va.,West Va.,-18.861642712842716,4.550071226522464,-24.0,-49.0,5.138357287157284,1.1292916157456365,-25.0,L
