source_row,season,week,away,home,picker,candidate_matches,reason
1054,2023,2,Northern Illinois,Boston College,CBCR2: Sam,0,no_match
1055,2023,2,Northern Illinois,Boston College,CFB Geek,0,no_match
1056,2023,2,Northern Illinois,Boston College,CFB Graphs,0,no_match
1057,2023,2,Northern Illinois,Boston College,Congrove,0,no_match
1058,2023,2,Northern Illinois,Boston College,DRatings,0,no_match
1059,2023,2,Northern Illinois,Boston College,Dokter Entropy,0,no_match
1060,2023,2,Northern Illinois,Boston College,ESPN FPI,0,no_match
1061,2023,2,Northern Illinois,Boston College,FEI,0,no_match
1062,2023,2,Northern Illinois,Boston College,Harville,0,no_match
1063,2023,2,Northern Illinois,Boston College,JP+,0,no_match
1064,2023,2,Northern Illinois,Boston College,KFord,0,no_match
1065,2023,2,Northern Illinois,Boston College,Keeper,0,no_match
1066,2023,2,Northern Illinois,Boston College,Massey,0,no_match
1067,2023,2,Northern Illinois,Boston College,Moore Ratings,0,no_match
1068,2023,2,Northern Illinois,Boston College,OddsTrader AI,0,no_match
1069,2023,2,Northern Illinois,Boston College,PiRate,0,no_match
1070,2023,2,Northern Illinois,Boston College,PiRate: Bias,0,no_match
1071,2023,2,Northern Illinois,Boston College,PiRate: Mean,0,no_match
1072,2023,2,Northern Illinois,Boston College,Power Rank,0,no_match
1073,2023,2,Northern Illinois,Boston College,Power Rank: Free,0,no_match
1074,2023,2,Northern Illinois,Boston College,Professor Sides,0,no_match
1075,2023,2,Northern Illinois,Boston College,Room44 Bets,0,no_match
1076,2023,2,Northern Illinois,Boston College,SP+,0,no_match
1077,2023,2,Northern Illinois,Boston College,Sagarin,0,no_match
1078,2023,2,Northern Illinois,Boston College,Sagarin: Golden,0,no_match
1079,2023,2,Northern Illinois,Boston College,Sagarin: Predictor,0,no_match
1080,2023,2,Northern Illinois,Boston College,Sagarin: Recent,0,no_match
1081,2023,2,Northern Illinois,Boston College,SportsLine,0,no_match
1082,2023,2,Northern Illinois,Boston College,TShoe Index,0,no_match
1083,2023,2,Northern Illinois,Boston College,TeamRankings,0,no_match
1084,2023,2,Northern Illinois,Boston College,Wilson Ratings,0,no_match
1730,2023,3,Kent State,Arkansas,Beta_Rank,0,no_match
1731,2023,3,Kent State,Arkansas,Blake Atkinson,0,no_match
1732,2023,3,Kent State,Arkansas,CBCR2: Power,0,no_match
1733,2023,3,Kent State,Arkansas,CBCR2: Sam,0,no_match
1734,2023,3,Kent State,Arkansas,CFB Geek,0,no_match
1735,2023,3,Kent State,Arkansas,CFB Graphs,0,no_match
1736,2023,3,Kent State,Arkansas,Congrove,0,no_match
1737,2023,3,Kent State,Arkansas,DRatings,0,no_match
1738,2023,3,Kent State,Arkansas,Dokter Entropy,0,no_match
1739,2023,3,Kent State,Arkansas,ESPN FPI,0,no_match
1740,2023,3,Kent State,Arkansas,FEI,0,no_match
1741,2023,3,Kent State,Arkansas,Harville,0,no_match
1742,2023,3,Kent State,Arkansas,JP+,0,no_match
1743,2023,3,Kent State,Arkansas,KFord,0,no_match
1744,2023,3,Kent State,Arkansas,Keeper,0,no_match
1745,2023,3,Kent State,Arkansas,Massey,0,no_match
1746,2023,3,Kent State,Arkansas,Moore Ratings,0,no_match
1747,2023,3,Kent State,Arkansas,OddsTrader AI,0,no_match
1748,2023,3,Kent State,Arkansas,PiRate,0,no_match
1749,2023,3,Kent State,Arkansas,PiRate: Bias,0,no_match
1750,2023,3,Kent State,Arkansas,PiRate: Mean,0,no_match
1751,2023,3,Kent State,Arkansas,Power Rank,0,no_match
1752,2023,3,Kent State,Arkansas,Power Rank: Free,0,no_match
1753,2023,3,Kent State,Arkansas,Professor Sides,0,no_match
1754,2023,3,Kent State,Arkansas,Room44 Bets,0,no_match
1755,2023,3,Kent State,Arkansas,SP+,0,no_match
1756,2023,3,Kent State,Arkansas,Sagarin,0,no_match
1757,2023,3,Kent State,Arkansas,Sagarin: Golden,0,no_match
1758,2023,3,Kent State,Arkansas,Sagarin: Predictor,0,no_match
1759,2023,3,Kent State,Arkansas,Sagarin: Recent,0,no_match
1760,2023,3,Kent State,Arkansas,SportsLine,0,no_match
1761,2023,3,Kent State,Arkansas,TShoe Index,0,no_match
1762,2023,3,Kent State,Arkansas,TeamRankings,0,no_match
1763,2023,3,Kent State,Arkansas,Wilson Ratings,0,no_match
1866,2023,3,Miami OH,Massachusetts,Beta_Rank,0,no_match
1867,2023,3,Miami OH,Massachusetts,Blake Atkinson,0,no_match
1868,2023,3,Miami OH,Massachusetts,CBCR2: Power,0,no_match
1869,2023,3,Miami OH,Massachusetts,CBCR2: Sam,0,no_match
1870,2023,3,Miami OH,Massachusetts,CFB Geek,0,no_match
1871,2023,3,Miami OH,Massachusetts,CFB Graphs,0,no_match
1872,2023,3,Miami OH,Massachusetts,Congrove,0,no_match
1873,2023,3,Miami OH,Massachusetts,DRatings,0,no_match
1874,2023,3,Miami OH,Massachusetts,Dokter Entropy,0,no_match
1875,2023,3,Miami OH,Massachusetts,ESPN FPI,0,no_match
1876,2023,3,Miami OH,Massachusetts,FEI,0,no_match
1877,2023,3,Miami OH,Massachusetts,Harville,0,no_match
1878,2023,3,Miami OH,Massachusetts,JP+,0,no_match
