ranking_method,top_n,top_n_label,line_reference,edge_cutoff_points,bets,wins,losses,pushes,ats_pct,wilson_low,wilson_high,units_flat,roi_flat,profitable_folds
incremental,20,20,Open,0.0,2390,1205,1185,36,0.50418410041841,0.48414820496278077,0.5242065667146769,-89.5454545454545,-0.03746671738303536,2
incremental,20,20,Open,0.5,1287,669,618,19,0.5198135198135199,0.49249935471113565,0.5470097531453204,-9.81818181818187,-0.007628734901462215,3
incremental,20,20,Open,1.0,525,266,259,8,0.5066666666666667,0.4640069231555616,0.5492295544589075,-17.181818181818187,-0.03272727272727274,3
incremental,20,20,Open,1.5,201,103,98,6,0.5124378109452736,0.4437527154481212,0.5806563889525475,-4.36363636363636,-0.02170963364993214,4
incremental,20,20,Open,2.0,76,46,30,2,0.6052631578947368,0.4928609075804977,0.7075358780550607,11.81818181818182,0.15550239234449764,5
incremental,20,20,Open,3.0,7,3,4,0,0.42857142857142855,0.15821692226262685,0.7495457695909742,-1.272727272727273,-0.18181818181818185,1
incremental,20,20,Open,4.0,1,0,1,0,0.0,0.0,0.7934567085261071,-1.0,-1.0,0
incremental,25,25,Close (PT Updated/final),0.0,2374,1228,1146,52,0.5172704296545914,0.4971573441688663,0.5373277115219752,-29.63636363636374,-0.012483725204870995,3
incremental,25,25,Close (PT Updated/final),0.5,383,183,200,7,0.47780678851174935,0.42824940361576425,0.527804960754562,-33.636363636363654,-0.08782340375029675,1
incremental,25,25,Close (PT Updated/final),1.0,65,33,32,1,0.5076923076923077,0.3891624609220664,0.6253636395753072,-2.0,-0.03076923076923077,3
incremental,25,25,Close (PT Updated/final),1.5,7,4,3,0,0.5714285714285714,0.2504542304090258,0.8417830777373732,0.6363636363636362,0.0909090909090909,1
incremental,25,25,Close (PT Updated/final),2.0,1,0,1,0,0.0,0.0,0.7934567085261071,-1.0,-1.0,0
incremental,25,25,Close (PT Updated/final),3.0,0,0,0,0,,,,0.0,,0
incremental,25,25,Close (PT Updated/final),4.0,0,0,0,0,,,,0.0,,0
incremental,25,25,Midweek,0.0,2382,1212,1170,44,0.5088161209068011,0.4887416053169892,0.5288622456679212,-68.18181818181824,-0.028623769177925376,0
incremental,25,25,Midweek,0.5,439,212,227,7,0.48291571753986334,0.43652134682334176,0.5296064966312931,-34.27272727272728,-0.07806999378753367,1
incremental,25,25,Midweek,1.0,70,35,35,2,0.5,0.3859551898733622,0.6140448101266378,-3.1818181818181834,-0.04545454545454548,3
incremental,25,25,Midweek,1.5,6,3,3,0,0.5,0.18761280689940868,0.8123871931005913,-0.27272727272727293,-0.04545454545454549,1
incremental,25,25,Midweek,2.0,2,1,1,0,0.5,0.09452865480086614,0.9054713451991339,-0.09090909090909094,-0.04545454545454547,1
incremental,25,25,Midweek,3.0,1,1,0,0,1.0,0.20654329147389294,1.0,0.9090909090909091,0.9090909090909091,1
incremental,25,25,Midweek,4.0,1,1,0,0,1.0,0.20654329147389294,1.0,0.9090909090909091,0.9090909090909091,1
incremental,25,25,Open,0.0,2390,1207,1183,36,0.505020920502092,0.48498399022666466,0.5250417357862847,-85.72727272727275,-0.03586915176873337,1
incremental,25,25,Open,0.5,1168,596,572,18,0.5102739726027398,0.4816182760104596,0.5388623077134841,-30.181818181818244,-0.025840597758406032,1
incremental,25,25,Open,1.0,423,211,212,6,0.4988179669030733,0.4513944136783958,0.5462627968652812,-20.181818181818187,-0.04771115409413283,3
incremental,25,25,Open,1.5,142,78,64,3,0.5492957746478874,0.4672327915920091,0.628761766887876,6.9090909090909065,0.04865556978233033,5
incremental,25,25,Open,2.0,43,28,15,1,0.6511627906976745,0.501715070970981,0.775816012510369,10.454545454545453,0.2431289640591966,6
incremental,25,25,Open,3.0,2,0,2,0,0.0,0.0,0.6576280471103807,-2.0,-1.0,0
incremental,25,25,Open,4.0,0,0,0,0,,,,0.0,,0
incremental,35,35,Close (PT Updated/final),0.0,2374,1192,1182,52,0.502106149957877,0.48200576876638557,0.5221997258300585,-98.36363636363649,-0.04143371371678033,0
incremental,35,35,Close (PT Updated/final),0.5,469,240,229,8,0.511727078891258,0.46657610423298984,0.5566875003229546,-10.818181818181813,-0.023066485753052906,4
incremental,35,35,Close (PT Updated/final),1.0,88,46,42,2,0.5227272727272727,0.4196177626380677,0.6239354855631831,-0.18181818181817988,-0.0020661157024793168,2
incremental,35,35,Close (PT Updated/final),1.5,12,8,4,0,0.6666666666666666,0.3906175873976139,0.8618821601026385,3.2727272727272725,0.2727272727272727,1
