ranking_method,top_n,top_n_label,line_reference,oos_games,market_mae,signal_mae,mae_improvement,market_rmse,signal_rmse,rmse_improvement,residual_corr,mean_gamma,median_gamma,positive_gamma_folds,folds
mae,35,35,Close (PT Updated/final),2426,12.027149960394288,12.026800739179697,0.0003492212145914664,15.2550385303133,15.257185929598728,-0.0021473992854286195,0.018729728208992075,-0.037038250238803944,-0.02260436091292406,2,8
mae,35,35,Midweek,2426,12.084770273118034,12.08372710915156,0.001043163966473415,15.402706197306758,15.389882069087644,0.012824128219113717,0.09118676790705117,-0.00781721257866755,0.024528207091265464,4,8
mae,35,35,Open,2426,12.088022830804865,12.089012786271438,-0.0009899554665722121,15.32135190064805,15.313591440132118,0.007760460515932266,0.02780592521751511,0.19000266006051245,0.19709805011331058,8,8
mae,999,All,Close (PT Updated/final),2426,12.027149960394288,12.02416017421523,0.002989786179057319,15.2550385303133,15.264743272933153,-0.00970474261985288,0.0006671460856208472,-0.15233279459619445,-0.13966672491767207,0,8
mae,999,All,Midweek,2426,12.084770273118034,12.08424555534881,0.0005247177692240257,15.402706197306758,15.429709248013564,-0.02700305070680642,0.07341459754706683,-0.1352867079359088,-0.11540090352854282,0,8
mae,999,All,Open,2426,12.088022830804865,12.091098657888928,-0.00307582708406251,15.32135190064805,15.320799423919254,0.0005524767287958809,0.006210940724568458,0.054420007985008984,0.05008695099079832,8,8
wilson,3,3,Close (PT Updated/final),2080,11.85808695948475,11.862320892582249,-0.004233933097498976,15.103644194975594,15.100139059379636,0.0035051355959581088,0.029968786556286826,0.042249347457767136,0.022684603623654764,6,8
wilson,3,3,Midweek,2426,12.084745846385358,12.08146645037853,0.00327939600682825,15.402701891650267,15.386415112339886,0.016286779310380695,0.06255982829760064,0.02516290014702576,0.035329252879598705,6,8
wilson,3,3,Open,2239,12.137292971322529,12.128302158718354,0.008990812604174891,15.402195082162859,15.38327606465793,0.018919017504929414,0.041726977880016454,0.14085533828459224,0.14694604604851724,8,8
wilson,5,5,Close (PT Updated/final),2426,12.027239251066355,12.028442793816582,-0.001203542750227271,15.255172516353472,15.251776997849547,0.0033955185039253877,0.019320800290989395,0.03571637318830687,0.040685163896627685,7,8
wilson,5,5,Midweek,2426,12.084770273118034,12.07976626352305,0.005004009594983927,15.402706197306758,15.37742912361462,0.02527707369213772,0.08506559625665058,0.035246813411732955,0.048027638612182955,6,8
wilson,5,5,Open,2426,12.088006252414026,12.079142637782468,0.008863614631557937,15.32135064723364,15.300911170725009,0.020439476508631316,0.04486697118379848,0.18694963682533394,0.20290782390469825,8,8
wilson,8,8,Close (PT Updated/final),2426,12.027149960394288,12.026595321642274,0.0005546387520141138,15.2550385303133,15.253419724960226,0.0016188053530736823,0.010793639837862745,0.021570806158653394,0.028583871345990552,6,8
wilson,8,8,Midweek,2426,12.084770273118034,12.083526413441962,0.0012438596760713239,15.402706197306758,15.376699282690582,0.026006914616175436,0.08658438424591833,0.04411448395643008,0.06251477884903661,5,8
wilson,8,8,Open,2426,12.088022830804865,12.084174611595351,0.00384821920951417,15.32135190064805,15.305778428266303,0.015573472381747777,0.022438227682834603,0.17836625714363283,0.1965339721838284,8,8
wilson,10,10,Close (PT Updated/final),2426,12.027149960394288,12.027284656988346,-0.00013469659405807022,15.2550385303133,15.25291355367369,0.00212497663961031,0.012491645773225297,0.010229658102105604,0.01917183978665643,5,8
wilson,10,10,Midweek,2426,12.084770273118034,12.087210990536846,-0.002440717418812355,15.402706197306758,15.38213953686799,0.020566660438767315,0.0879376117143995,0.04814777491144494,0.08089449304050104,6,8
wilson,10,10,Open,2426,12.088022830804865,12.087797878414937,0.0002249523899280348,15.32135190064805,15.30758483241262,0.013767068235431168,0.019698887750083813,0.17008873821914502,0.18688915969644637,8,8
wilson,15,15,Close (PT Updated/final),2426,12.027149960394288,12.02601188594668,0.0011380744476081617,15.2550385303133,15.252838393769874,0.002200136543425657,0.011441341196781979,0.0009512134120863673,0.016704967512572444,4,8
wilson,15,15,Midweek,2426,12.084770273118034,12.083015974723569,0.0017542983944647261,15.402706197306758,15.384907069698965,0.017799127607792897,0.07753881239614059,0.007748652978372848,0.06380926665027364,5,8
wilson,15,15,Open,2426,12.088022830804865,12.087547696229763,0.0004751345751028424,15.32135190064805,15.311156265661774,0.010195634986276403,0.019546883162655147,0.1333478916752083,0.15351550946359896,8,8
wilson,20,20,Close (PT Updated/final),2426,12.027149960394288,12.023719510546186,0.003430449848101702,15.2550385303133,15.254970657830984,6.787248231532317e-05,0.007139007391303502,-0.03740032315027012,-0.015344965800100058,2,8
